,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
126,0.7160439560439561,RF,0.7500912499952749,0.7353562563338002,0.30400000000000005,0.43626828383232363,127,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.26944444444444443,0.0,0.26944444444444443,0.7132777777777777
146,0.7160439560439561,RF,0.7500912499952749,0.7353562563338002,0.30400000000000005,0.43626828383232363,147,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.26944444444444443,0.0,0.26944444444444443,0.7132777777777777
106,0.7160439560439561,RF,0.7500912499952749,0.7353562563338002,0.30400000000000005,0.43626828383232363,107,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.26944444444444443,0.0,0.26944444444444443,0.7132777777777777
63,0.7281318681318681,RF,0.7799893927881544,0.7889430504971321,0.38000000000000006,0.4357818972439656,64,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 20}",0.20055555555555557,0.0,0.20055555555555557,0.7097222222222221
43,0.7281318681318681,RF,0.7799893927881544,0.7889430504971321,0.38000000000000006,0.4357818972439656,44,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 10}",0.20055555555555557,0.0,0.20055555555555557,0.7097222222222221
119,0.7164835164835165,RF,0.7541234005073015,0.7379747072581331,0.304,0.4350904058699523,120,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 8}",0.2683333333333333,0.0,0.2683333333333333,0.7138333333333332
139,0.7164835164835165,RF,0.7541234005073015,0.7379747072581331,0.304,0.4350904058699523,140,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 10}",0.2683333333333333,0.0,0.2683333333333333,0.7138333333333332
159,0.7164835164835165,RF,0.7541234005073015,0.7379747072581331,0.304,0.4350904058699523,160,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.2683333333333333,0.0,0.2683333333333333,0.7138333333333332
149,0.7156043956043956,RF,0.7514487463001395,0.738623662095485,0.31333333333333335,0.4333390798213939,150,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.265,0.0,0.265,0.7108333333333333
89,0.7156043956043956,RF,0.7514487463001395,0.738623662095485,0.31333333333333335,0.4333390798213939,90,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.265,0.0,0.265,0.7108333333333333
109,0.7156043956043956,RF,0.7514487463001395,0.738623662095485,0.31333333333333335,0.4333390798213939,110,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 8}",0.265,0.0,0.265,0.7108333333333333
129,0.7156043956043956,RF,0.7514487463001395,0.738623662095485,0.31333333333333335,0.4333390798213939,130,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 10}",0.265,0.0,0.265,0.7108333333333333
9,0.7162637362637362,RF,0.7540844796758109,0.7379633422102768,0.30533333333333335,0.4331940250017325,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.2683333333333333,0.0,0.2683333333333333,0.7131666666666667
99,0.7136263736263737,RF,0.7486967683159633,0.7299953334039047,0.2973333333333333,0.4325012834166941,100,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.2777777777777778,0.0,0.2777777777777778,0.7124444444444442
92,0.7193406593406594,RF,0.7620594397003068,0.7555803816925644,0.33199999999999996,0.43224066322294336,93,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.24444444444444444,0.0,0.24444444444444444,0.7117777777777776
19,0.7107692307692308,RF,0.7453130148145628,0.7234678051251048,0.2906666666666667,0.4285285094959659,20,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.2866666666666667,0.0,0.2866666666666667,0.7113333333333333
25,0.7219780219780221,RF,0.7698801226293487,0.7702146013885871,0.35733333333333334,0.42694133040813115,26,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.22555555555555556,0.0,0.22555555555555556,0.7085555555555554
147,0.7162637362637363,RF,0.7600452375282097,0.7545262832357199,0.3413333333333333,0.426285350768366,148,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 20}",0.24444444444444444,0.0,0.24444444444444444,0.7071111111111109
127,0.7162637362637363,RF,0.7600452375282097,0.7545262832357199,0.3413333333333333,0.426285350768366,128,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.24444444444444444,0.0,0.24444444444444444,0.7071111111111109
107,0.7162637362637363,RF,0.7600452375282097,0.7545262832357199,0.3413333333333333,0.426285350768366,108,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 8}",0.24444444444444444,0.0,0.24444444444444444,0.7071111111111109
12,0.7136263736263736,RF,0.7549469563803929,0.7442145232153229,0.3253333333333333,0.4252911133681252,13,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.25833333333333336,0.0,0.25833333333333336,0.7081666666666666
29,0.7131868131868133,RF,0.7526297115337364,0.7401105941113937,0.32,0.42401210457181604,30,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 8}",0.2638888888888889,0.0,0.2638888888888889,0.7080555555555555
49,0.7131868131868133,RF,0.7526297115337364,0.7401105941113937,0.32,0.42401210457181604,50,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 10}",0.2638888888888889,0.0,0.2638888888888889,0.7080555555555555
69,0.7131868131868133,RF,0.7526297115337364,0.7401105941113937,0.32,0.42401210457181604,70,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.2638888888888889,0.0,0.2638888888888889,0.7080555555555555
23,0.7224175824175824,RF,0.7757375868026023,0.784218960066859,0.38666666666666666,0.4225659660492145,24,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 8}",0.20555555555555557,0.0,0.20555555555555557,0.7038888888888889
10,0.7136263736263737,RF,0.7571956172482488,0.7481867044209877,0.332,0.42251024097144224,11,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.25333333333333335,0.0,0.25333333333333335,0.7073333333333334
50,0.7191208791208793,RF,0.7679093623954306,0.7694415599093631,0.36266666666666664,0.42205350626923627,51,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.225,0.0,0.225,0.7061666666666666
70,0.7191208791208793,RF,0.7679093623954306,0.7694415599093631,0.36266666666666664,0.42205350626923627,71,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.225,0.0,0.225,0.7061666666666666
72,0.7162637362637363,RF,0.7626991800768892,0.7588091710701133,0.34800000000000003,0.4205791995256355,73,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.23944444444444446,0.0,0.23944444444444446,0.7062777777777777
32,0.7162637362637363,RF,0.7626991800768892,0.7588091710701133,0.34800000000000003,0.4205791995256355,33,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.23944444444444446,0.0,0.23944444444444446,0.7062777777777777
52,0.7162637362637363,RF,0.7626991800768892,0.7588091710701133,0.34800000000000003,0.4205791995256355,53,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23944444444444446,0.0,0.23944444444444446,0.7062777777777777
67,0.7136263736263737,RF,0.7585747022155691,0.7516728794925285,0.3413333333333333,0.4205784611716014,68,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 20}",0.24833333333333332,0.0,0.24833333333333332,0.7051666666666665
27,0.7136263736263737,RF,0.7585747022155691,0.7516728794925285,0.3413333333333333,0.4205784611716014,28,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 8}",0.24833333333333332,0.0,0.24833333333333332,0.7051666666666665
47,0.7136263736263737,RF,0.7585747022155691,0.7516728794925285,0.3413333333333333,0.4205784611716014,48,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.24833333333333332,0.0,0.24833333333333332,0.7051666666666665
59,0.707912087912088,RF,0.7464570286954187,0.729675259523442,0.31066666666666665,0.4183470804762961,60,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 10}",0.27722222222222226,0.0,0.27722222222222226,0.7060555555555555
39,0.707912087912088,RF,0.7464570286954187,0.729675259523442,0.31066666666666665,0.4183470804762961,40,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 8}",0.27722222222222226,0.0,0.27722222222222226,0.7060555555555555
79,0.707912087912088,RF,0.7464570286954187,0.729675259523442,0.31066666666666665,0.4183470804762961,80,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.27722222222222226,0.0,0.27722222222222226,0.7060555555555555
87,0.7101098901098902,RF,0.751327288810261,0.7417889304983671,0.33466666666666667,0.41814481685144433,88,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}",0.2594444444444444,0.0,0.2594444444444444,0.7029444444444444
112,0.7160439560439561,RF,0.7630744772942917,0.7617694311013117,0.35600000000000004,0.41780018856945483,113,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.235,0.0,0.235,0.7044999999999999
132,0.7160439560439561,RF,0.7630744772942917,0.7617694311013117,0.35600000000000004,0.41780018856945483,133,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.235,0.0,0.235,0.7044999999999999
152,0.7160439560439561,RF,0.7630744772942917,0.7617694311013117,0.35600000000000004,0.41780018856945483,153,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.235,0.0,0.235,0.7044999999999999
3,0.7167032967032968,RF,0.7656899677549833,0.7638513197346696,0.35733333333333334,0.4175577389278354,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}",0.23333333333333336,0.0,0.23333333333333336,0.7046666666666666
