,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
65,0.791412449,RF,0.807807346,0.779229499,0.589543363,66,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 20}",0.238117398,0.171157895,0.269080842,0.673763864,0.168,0.016525601,0.094730769,0.796941301
60,0.786182331,RF,0.796687798,0.754976787,0.589512835,61,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.269804336,0.203578947,0.300354374,0.668140017,0.136888889,0.009184953,0.082942308,0.796653387
90,0.776434491,RF,0.777736754,0.716225426,0.589510181,91,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.31902697,0.224105263,0.362923588,0.663349106,0.092444444,0.015151515,0.043923077,0.794264293
14,0.777175101,RF,0.7789401,0.718391559,0.589508652,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.316456901,0.224105263,0.359246955,0.663613021,0.094222222,0.016530825,0.043288462,0.794660438
40,0.785787339,RF,0.796105365,0.753514825,0.589234372,41,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.271792702,0.212,0.299490587,0.667316057,0.135111111,0.008270637,0.082961538,0.796548093
6,0.780550168,RF,0.785705767,0.732160094,0.589166752,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.299005817,0.22,0.335459579,0.665362511,0.110222222,0.016985371,0.053778846,0.79538598
142,0.786185858,RF,0.79724562,0.756008965,0.589104294,143,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.268492861,0.203473684,0.298427464,0.668351632,0.138666667,0.011024033,0.081721154,0.796420236
20,0.782814318,RF,0.790263238,0.741427286,0.588855747,21,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.287297726,0.207578947,0.324053156,0.665654813,0.120888889,0.009639498,0.071163462,0.795906693
24,0.785025569,svm_rbf,0.794566663,0.747832808,0.588787145,25,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001}",0.280243258,0.159052632,0.336456257,0.666504953,0.125333333,0,0.087298077,0.797211705
96,0.778310704,RF,0.781877603,0.724103922,0.58865896,97,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.309328398,0.219894737,0.350653378,0.664089256,0.101333333,0.016530825,0.048230769,0.794669134
57,0.786171751,RF,0.797242841,0.756457407,0.588489938,58,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.267858276,0.189157895,0.304097453,0.669681091,0.139555556,0.020658307,0.069288462,0.796293084
25,0.786929995,RF,0.798842843,0.759182678,0.588338678,26,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.26463247,0.191368421,0.298471761,0.669439514,0.142222222,0.017904911,0.074903846,0.796572654
92,0.776060659,RF,0.777302484,0.716092303,0.588303799,93,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.319037546,0.224105263,0.36290144,0.662256159,0.093333333,0.014691745,0.045153846,0.79381456
152,0.784662317,RF,0.794645331,0.750503278,0.588143864,153,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.275684823,0.205789474,0.307906977,0.666731613,0.132444444,0.010099269,0.078615385,0.795935366
110,0.781301358,RF,0.787824331,0.736356084,0.588124504,111,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.293802221,0.218105263,0.328748616,0.664278011,0.115555556,0.010099269,0.066855769,0.795321112
62,0.785812026,RF,0.796693247,0.755434645,0.588027863,63,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.269169751,0.205684211,0.298449612,0.667000367,0.138666667,0.009644723,0.083528846,0.796081791
78,0.783544348,RF,0.79253476,0.745604878,0.587997565,79,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.282168165,0.207684211,0.31654485,0.666943212,0.126222222,0.017904911,0.063721154,0.795804806
98,0.777936872,RF,0.781397794,0.723917462,0.587904357,99,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.309317821,0.224,0.348704319,0.663480573,0.102222222,0.017439916,0.047596154,0.794229978
80,0.779061894,RF,0.784002651,0.729424241,0.587503834,81,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.302221047,0.220105263,0.340199336,0.663458246,0.109333333,0.013322884,0.058134615,0.79422281
