,median,meanci_1,Diff_median_of_plot,Diff_mean_of_row,Type,Y_binary
430,4.300178529999997,4.776258319999997,-0.889862061,-1.096096498,Clog,0.0
287,1.830016329999996,2.462895899999996,0.549858093,0.203109399,Clog,0.0
113,2.78505363,3.386812319999997,-0.205179214,-0.033104878,Leak,1.0
750,4.45506134,5.010829189999995,-0.87518692,-0.918722513,Control,1.0
173,1.849711609999996,2.575955820000001,0.530162811,0.090350979,Clog,0.0
359,2.529985050000001,3.103715059999999,0.249889374,0.472799578,Clog,0.0
445,3.00972252,3.561523500000003,-0.529848099,-0.371300736,Control,1.0
57,2.219775010000003,2.992539150000002,0.260099411,0.087506178,Leak,1.0
528,3.294954300000001,3.976546419999998,0.115362167,-0.192387296,Control,1.0
222,2.199911879999998,2.803460390000001,0.77996254,0.539819069,Clog,0.0
280,2.634903720000001,3.224128269999998,0.57541275,0.490804849,Clog,0.0
17,2.099858860000005,2.788360099999998,0.680015564,0.91662194,Leak,1.0
669,3.430070499999999,3.829198410000004,-0.650196075,-0.345191755,Control,1.0
322,2.700146479999997,3.216875290000001,0.279727936,0.021114255,Clog,0.0
255,2.849990839999997,3.414789829999997,-0.170116425,-0.16164681,Clog,0.0
514,4.330138779999999,5.039042500000001,-1.050264359,-1.084904975,Control,1.0
616,3.359973530000005,3.587310309999999,-0.580099106,-0.17759763,Control,1.0
732,4.119980239999997,4.809934730000002,-0.54010582,-0.602911524,Control,1.0
190,2.169847869999998,2.772228329999997,0.41002655,0.010469622,Clog,0.0
115,2.369797520000002,2.915282520000002,0.110076904,0.185054612,Leak,1.0
676,2.89999924,3.632177779999999,-0.120124817,-0.112901435,Control,1.0
462,2.740039830000001,3.421418009999996,0.670276642,0.401518103,Control,1.0
94,2.470157620000002,2.986681470000001,0.209716797,0.344431739,Leak,1.0
180,3.490057369999995,3.901048779999996,-0.910182953,-0.74816892,Clog,0.0
301,2.830301669999997,3.410214889999999,-0.250427246,-0.661048739,Clog,0.0
617,2.970132450000001,3.669596769999998,-0.190258026,-0.262714513,Control,1.0
579,3.520101929999996,3.923146840000001,-0.940227509,-0.729043932,Control,1.0
537,2.860227969999997,3.457721819999996,-0.280353546,-0.54723683,Control,1.0
534,3.10004807,3.726261440000002,0.310268402,0.295472,Control,1.0
675,2.964978790000004,3.650332580000004,-0.18510437,-0.187491232,Control,1.0
518,2.884961699999998,3.663859330000001,-0.10508728,-0.187463904,Control,1.0
5,2.350263980000001,3.080854170000002,0.229610443,0.414202192,Leak,1.0
748,4.359917070000002,4.994685949999997,-0.780042648,-0.830180142,Control,1.0
45,2.619839860000003,3.19680893,0.260034561,0.406579182,Leak,1.0
493,3.58012772,4.257822609999998,-0.169811249,-0.333142478,Control,1.0
580,3.299780269999999,3.732471109999999,-0.719905853,-0.552866142,Control,1.0
171,2.939959720000001,3.584835010000003,-0.560085297,-0.729570373,Clog,0.0
16,3.989755250000002,4.537164449999999,-1.209880829,-0.915529716,Leak,1.0
48,2.660160449999999,3.20616339,-0.080286026,0.032057845,Leak,1.0
738,4.039968869999996,4.593492820000002,-0.460094452,-0.463000799,Control,1.0
725,4.130574040000003,4.667210360000002,-0.150699615,-0.027992103,Control,1.0
3,2.260049440000003,2.913277300000004,0.519824982,0.445398734,Leak,1.0
552,3.20989075,3.605222259999998,-0.630016327,-0.387667001,Control,1.0
511,4.100293730000004,4.900319330000002,-0.820419312,-0.931290802,Control,1.0
316,2.450057600000001,3.172126259999999,0.329816818,0.178853461,Clog,0.0
538,2.719992069999996,3.287613489999998,-0.140117645,-0.346535398,Control,1.0
447,2.650176239999997,3.34588905,-0.270301819,-0.30987265,Control,1.0
703,4.039900970000001,4.63088393,-0.16002655,-0.374130989,Control,1.0
283,3.76072769,4.267326749999999,-0.550411224,-0.540258302,Clog,0.0
96,2.499975969999998,3.164562560000004,-0.020101547,-0.102559145,Leak,1.0
285,3.690328220000005,4.165476890000001,-0.910453796,-0.616779457,Clog,0.0
512,4.469974139999998,5.127020219999999,-1.190099716,-1.17458879,Control,1.0
225,3.22009697,3.891420509999996,-0.640222549,-0.709667648,Clog,0.0
26,2.84992828,3.362312019999997,-0.270053864,-0.174139861,Leak,1.0
603,2.689882660000002,3.28622859,-0.11000824,-0.212555787,Control,1.0
263,2.559918979999999,3.121848800000002,-0.280044556,-0.607704563,Clog,0.0
437,3.439421079999995,3.886150749999999,-0.129104614,-0.180169222,Clog,0.0
50,2.479955289999999,3.030147820000003,0.299919128,0.685808375,Leak,1.0
